# i	n_loc[i]	m_loc[i]	vext[i]	energia[i]	e_tot	mifim	bfim
0	0.00000000	0.00000000	5.10050000	5.10050000	113.33452996	-4.98480365	6.58184688
1	0.00000000	0.00000000	4.90050000	4.90050000	113.33452996	-4.98480365	6.58184688
2	0.00000000	0.00000000	4.70450000	4.70450000	113.33452996	-4.98480365	6.58184688
3	0.00000000	0.00000000	4.51250000	4.51250000	113.33452996	-4.98480365	6.58184688
4	0.00000000	0.00000000	4.32450000	4.32450000	113.33452996	-4.98480365	6.58184688
5	0.00000000	0.00000000	4.14050000	4.14050000	113.33452996	-4.98480365	6.58184688
6	0.00000000	0.00000000	3.96050000	3.96050000	113.33452996	-4.98480365	6.58184688
7	0.00000000	0.00000000	3.78450000	3.78450000	113.33452996	-4.98480365	6.58184688
8	0.00000000	0.00000000	3.61250000	3.61250000	113.33452996	-4.98480365	6.58184688
9	0.12512566	0.12512566	3.44450000	3.20064399	113.33452996	-4.98480365	6.58184688
10	0.18153841	0.18153841	3.28050000	2.93678821	113.33452996	-4.98480365	6.58184688
11	0.22435107	0.22435107	3.12050000	2.70803628	113.33452996	-4.98480365	6.58184688
12	0.26035731	0.26035731	2.96450000	2.49993526	113.33452996	-4.98480365	6.58184688
13	0.29208094	0.29208094	2.81250000	2.30693162	113.33452996	-4.98480365	6.58184688
14	0.32079047	0.32079047	2.66450000	2.12613869	113.33452996	-4.98480365	6.58184688
15	0.34722948	0.34722948	2.52050000	1.95580466	113.33452996	-4.98480365	6.58184688
16	0.37187729	0.37187729	2.38050000	1.79475830	113.33452996	-4.98480365	6.58184688
17	0.39506360	0.39506360	2.24450000	1.64216217	113.33452996	-4.98480365	6.58184688
18	0.41702603	0.41702603	2.11250000	1.49738689	113.33452996	-4.98480365	6.58184688
19	0.43794195	0.43794195	1.98450000	1.35994086	113.33452996	-4.98480365	6.58184688
20	0.45794733	0.45794733	1.86050000	1.22942783	113.33452996	-4.98480365	6.58184688
21	0.47714852	0.47714852	1.74050000	1.10552003	113.33452996	-4.98480365	6.58184688
22	0.49562998	0.49562998	1.62450000	0.98794022	113.33452996	-4.98480365	6.58184688
23	0.51345948	0.51345948	1.51250000	0.87644927	113.33452996	-4.98480365	6.58184688
